,Gene_Name,JJ_AMIL_141050_INTER-Str_counts,JJ_AMIL_141056_INTER-Str_counts,JJ_AMIL_141062_INTER-Str_counts,JJ_CTRL_141048_INTER-Str_counts,JJ_CTRL_141054_INTER-Str_counts,JJ_CTRL_141060_INTER-Str_counts
ENSG00000000419,DPM1,1520.0,2420.0,2820.0,1880.0,1610.0,1760.0
ENSG00000000457,SCYL3,675.0,765.0,772.0,777.0,744.0,795.0
ENSG00000000460,FIRRM,1110.0,1060.0,855.0,999.0,906.0,791.0
ENSG00000000938,FGR,3.96,2.41,3.68,1.13,3.43,1.28
ENSG00000000971,CFH,3000.0,2570.0,2810.0,2820.0,2450.0,2560.0
ENSG00000001036,FUCA2,1660.0,1820.0,1770.0,1740.0,1850.0,1940.0
ENSG00000001084,GCLC,728.0,1060.0,879.0,1800.0,1730.0,1710.0
ENSG00000001167,NFYA,1550.0,1680.0,1530.0,2370.0,2490.0,2530.0
ENSG00000001460,STPG1,69.9,91.5,68.5,76.9,84.8,87.3
ENSG00000001461,NIPAL3,2060.0,2010.0,1790.0,1990.0,1910.0,2180.0
ENSG00000001497,LAS1L,3920.0,3990.0,3380.0,2800.0,2610.0,2530.0
ENSG00000001561,ENPP4,52.8,57.0,40.5,71.2,80.5,75.8
ENSG00000001617,SEMA3F,55.4,50.5,54.5,65.6,72.8,82.2
ENSG00000001629,ANKIB1,1830.0,1940.0,1870.0,1600.0,1690.0,1710.0
ENSG00000001630,CYP51A1,137.0,89.9,123.0,159.0,145.0,162.0
ENSG00000001631,KRIT1,1060.0,1190.0,1140.0,864.0,915.0,960.0
ENSG00000002016,RAD52,255.0,279.0,305.0,259.0,302.0,257.0
ENSG00000002330,BAD,878.0,761.0,1030.0,707.0,677.0,727.0
ENSG00000002549,LAP3,1430.0,1570.0,1540.0,1420.0,1540.0,1520.0
ENSG00000002586,CD99,0.0,0.802,0.736,1.13,2.57,0.0
ENSG00000002587,HS3ST1,15.8,11.2,12.5,15.8,12.9,18.0
ENSG00000002745,WNT16,5.28,5.62,0.736,6.78,2.57,3.85
ENSG00000002746,HECW1,14.5,17.7,15.5,4.52,12.0,10.3
ENSG00000002822,MAD1L1,1010.0,913.0,1050.0,891.0,798.0,955.0
ENSG00000002834,LASP1,14300.0,14700.0,14900.0,11800.0,12600.0,12700.0
ENSG00000002919,SNX11,1450.0,1410.0,1280.0,1000.0,1000.0,983.0
