,Gene_Name,JJ_AMIL_141050_INTER-Str_counts,JJ_AMIL_141056_INTER-Str_counts,JJ_AMIL_141062_INTER-Str_counts,JJ_CTRL_141048_INTER-Str_counts,JJ_CTRL_141054_INTER-Str_counts,JJ_CTRL_141060_INTER-Str_counts
ENSG00000000419,DPM1,1514.9003766080236,2408.2307599909627,2814.006162777694,1867.9178483478706,1610.3126027948847,1760.9825073192242
ENSG00000000457,SCYL3,672.7353646121157,761.2795584268952,770.3591339235389,772.0064724288806,744.1444574406175,795.4438030220359
ENSG00000000460,FIRRM,1106.2759329177015,1054.8448783431488,853.1827195655775,992.5797502657036,906.1759118833327,791.4415700508558
ENSG00000000971,CFH,2989.9349538316255,2557.501261643295,2804.027417519617,2801.876772521806,2450.4756999052593,2561.4291015552353
ENSG00000001036,FUCA2,1654.4306744534995,1811.148753381633,1766.2379106796163,1728.8175830453697,1850.3592019692774,1941.0829910223267
ENSG00000001084,GCLC,725.5575487964745,1054.8448783431488,877.1317081849621,1788.431982460727,1730.335902382081,1710.9545951794735
ENSG00000001167,NFYA,1544.79972614634,1671.8296185061229,1526.7480244857702,2354.768776906624,2490.483466434325,2531.4123542713846
ENSG00000001460,STPG1,69.66548442427688,91.05500600792276,68.35440501782696,76.40578858401663,84.81646504161877,87.3487345960047
ENSG00000001461,NIPAL3,2053.088668297716,2000.224722141254,1786.1954011957703,1977.210913942693,1910.3708517628756,2181.2169692931298
ENSG00000001497,LAS1L,3906.848339673324,3970.5953439520417,3372.815897230002,2782.00530605002,2610.5067660215213,2531.4123542713846
ENSG00000001561,ENPP4,52.622855187436606,56.722790627886305,40.413918295211566,70.74242063955765,80.51563013974423,75.84231480386204
ENSG00000001617,SEMA3F,55.21413214742402,50.2544022229519,54.38416165651926,65.1784100274576,72.81413508289913,82.24588755775014
ENSG00000001629,ANKIB1,1823.8603218372916,1930.5651547034988,1866.0253632603858,1589.7173177428685,1690.3281358530157,1710.9545951794735
ENSG00000001630,CYP51A1,136.54036289164424,89.46278732363122,122.73856667434623,157.97815845069758,145.02815366786228,162.09043533279223
ENSG00000001631,KRIT1,1056.4436836871744,1184.212646441837,1137.57695942077,858.4473515811491,915.1776593523724,960.5359130832132
ENSG00000002016,RAD52,254.14447107568816,277.6431330733382,304.3517303713463,257.33549080962683,302.0586372944442,257.14346839831853
ENSG00000002330,BAD,875.0542964880558,757.2990117161663,1027.8107615819238,702.4563397776301,677.1314485044329,727.405842511975
ENSG00000002549,LAP3,1425.202327993075,1562.364583961079,1536.7267697438472,1410.8741194967959,1540.2990113690203,1520.848529048421
ENSG00000002822,MAD1L1,1006.6114344566473,908.5597867238631,1047.7682520980775,885.2738313180599,798.1549422548559,955.5331218692381
ENSG00000002834,LASP1,14252.023279930749,14628.509161928574,14868.330434534624,11724.165218353657,12602.44645665562,12707.089683496675
ENSG00000002919,SNX11,1445.1352276852856,1403.1427155319245,1277.2793930338469,993.573323589293,1000.1941632266364,983.5487526674985
ENSG00000003056,M6PR,4056.3450873649053,3821.324842299709,3831.838179101541,3537.121031977883,3450.669863131896,3331.858948507396
ENSG00000003096,KLHL13,115.61081821482286,173.15378191670558,131.71943740661547,112.2737855655901,122.02368791364965,118.06587264981162
ENSG00000003147,ICA1,692.6682643043266,704.5567677990089,775.3485065525774,923.0296176144531,869.1687278439471,863.4817635320968
ENSG00000003249,DBNDD1,106.64101335332798,111.45530790040819,87.4138084607539,74.12056993976124,68.5133001810246,95.05303306552631
ENSG00000003393,ALS2,675.7252995659474,629.9215169728427,622.6737041040004,553.4203412392361,634.1230994856875,602.3360621625983
ENSG00000003400,CASP10,1156.1081821482285,1114.5530790040818,1087.6832331303854,1917.5965145273353,1850.3592019692774,2031.133232873878
ENSG00000003402,CFLAR,3199.2304005998394,2945.604565939359,2833.963653293848,2106.375446009301,1960.3805599242075,1961.094155878227
ENSG00000003436,TFPI,77.53897980270015,65.4799933914898,65.36078144040388,38.15321562582885,49.70964991236384,51.4286936796637
ENSG00000003509,NDUFAF7,440.5170831978595,486.6218353866036,447.0477875618464,401.40362273007435,398.0772769642013,456.25455871452624
ENSG00000003756,RBM5,3358.693598137526,2985.4100330466476,3512.518330843079,3328.4706340241314,2650.514532550587,2851.5909919657893
ENSG00000003989,SLC7A2,3179.2975009076285,3174.4860018062686,2594.4737671000016,5583.882078571826,5251.019356939842,6183.449940473185
ENSG00000004059,ARF5,1813.8938719911862,1811.148753381633,2115.493994712309,1778.4962492248344,2240.4349256276655,2291.2783760005814
ENSG00000004139,SARM1,889.0073262726033,846.8613127075657,1007.8532710657698,1013.4447900610787,923.1792126581854,928.5180493137727
ENSG00000004142,POLDIP2,9408.328654723515,11245.04445780904,9270.254344753466,7580.964458986305,7871.528064593629,6103.405281049584
ENSG00000004399,PLXND1,939.836220487741,839.8953559637903,1057.7469973561545,1460.5527856762606,1660.3223109562166,2151.2002220092795
ENSG00000004455,AK2,12258.733310709666,11742.612796650148,10976.619783884622,13115.167871378666,12602.44645665562,12907.201332055678
ENSG00000004468,CD38,197.33570695288728,210.96897566862978,141.69818266469238,103.33162565328647,134.0260178723693,162.09043533279223
ENSG00000004478,FKBP4,9936.550496567103,9354.28477021283,9399.978033108468,9667.46843852382,9271.79989311092,8234.594338202964
ENSG00000004487,KDM1A,4295.539883671436,4906.023820973324,4799.776469135003,6100.540206838258,6251.213520166478,5583.114994796177
ENSG00000004534,RBM6,2800.5724067556225,2955.5559327161814,3103.389775261925,2473.9975757373395,2530.4912329633903,2301.2839584285316
ENSG00000004660,CAMKK1,85.41247518112344,77.42163352367639,71.94675331073465,121.21594547789374,124.02407624010293,143.07982871968696
ENSG00000004700,RECQL,2122.853817220454,2507.744427759184,2205.3027020350014,1967.2751807068,2160.419392569535,1831.021584314875
ENSG00000004766,VPS50,732.5340636887482,755.3087383608018,607.705586216885,387.49359619982425,416.0807719022808,481.2685147844016
ENSG00000004777,ARHGAP33,128.5672030147599,119.4164013218659,187.60041085184628,308.0077303126808,336.06523884414986,320.1786376944044
ENSG00000004779,NDUFAB1,3847.0496405966915,4697.045118660059,1566.6630055180779,2543.54770838859,3420.6640382350965,2341.306288140332
ENSG00000004799,PDK4,108.63430332254906,179.12460198279888,148.68330434534624,69.64948998360943,104.0201929755702,134.07480453453184
ENSG00000004809,SLC22A16,23.62048613526984,39.10887143291108,19.059403442926936,11.22737855655901,18.803650268660768,25.71434683983185
ENSG00000004848,ARX,30.19834303369942,12.737749474332364,25.74516276583848,10.134447900610787,5.140997998984911,6.423583918743988
ENSG00000004864,SLC25A13,646.8225950122417,663.7561640140381,668.5759322911542,824.6658585791131,677.1314485044329,580.323780821108
ENSG00000004866,ST7,565.0977062741772,537.3738059483966,534.8607458329234,317.94346354857373,262.05087076537876,271.15128379744874
ENSG00000004897,CDC27,3438.4251969063694,4010.4008110593304,3991.4981032307714,3735.8356966957413,4080.7921859646767,3892.1715644726037
ENSG00000004961,HCCS,845.1549469497395,1024.9907780126823,995.8787767560775,807.7751120780952,624.1211578534212,589.3288050062631
ENSG00000004975,DVL2,762.4334132270645,676.6929408239068,627.6630767330388,867.3895114934527,742.1440691141643,819.4572008491162
ENSG00000005007,UPF1,5172.587470128712,4547.774617007727,5787.672249684619,5226.19568207968,5060.982465926781,4472.495345293712
ENSG00000005020,SKAP2,1166.074631994334,1263.8235806564142,1287.2581382919238,1281.7095874301879,1330.2582370914265,1300.725715633518
ENSG00000005022,SLC25A5,11262.088326099123,10846.989786736154,10577.469973561545,11922.879883071515,11302.194044460992,10806.029022186149
ENSG00000005059,MCUB,1345.4707292242315,1592.2186842915455,1556.6842602600009,1301.5810539019737,1380.2679452527584,1520.848529048421
ENSG00000005075,POLR2J,580.0473810433353,505.5294322625657,580.7629740200773,599.1247141243437,505.0980524294514,542.3025675948975
